姓名,手机号,参与抽奖时间,幸运码
明日科技,4006751066,2019/11/7 0:21,1000001
mr004,139********,2019/11/7 17:48,1000002
mr005,140********,2019/11/7 18:05,1000003
mr022,157********,2019/11/7 18:40,1000004
mr023,158********,2019/11/7 18:40,1000005
mr024,159********,2019/11/7 18:40,1000006
mr025,160********,2019/11/7 18:40,1000007
mr006,141********,2019/11/7 19:24,1000008
mr007,142********,2019/11/7 20:21,1000009
mr008,143********,2019/11/7 20:21,1000010
mr009,144********,2019/11/7 21:21,1000011
mr010,145********,2019/11/7 22:21,1000012
mr011,146********,2019/11/7 23:21,1000013
mr001,186********,2019/11/8 16:29,1000014
mr002,135********,2019/11/8 16:33,1000015
mr003,138********,2019/11/8 17:07,1000016
mr012,147********,2019/11/8 17:49,1000017
mr013,148********,2019/11/8 18:21,1000018
mr014,149********,2019/11/9 17:50,1000019
mr015,150********,2019/11/9 20:21,1000020
mr016,151********,2019/11/10 11:50,1000021
mr017,152********,2019/11/10 18:21,1000022
mr018,153********,2019/11/11 17:51,1000023
mr019,154********,2019/11/11 19:21,1000024
mr020,155********,2019/11/12 8:51,1000025
mr021,156********,2019/11/12 18:21,1000026
高猿员,188********,2019/11/12 19:11,1000027
高猿员,186********,2020-04-03 15:36:59,1000028
